Resume Name,Candidate Name,Match Percentage,Email,Phone Number,Status,Skills Matched,Improvement Suggestions,Suggested Roles,Email Sent
C:\Users\prave\Downloads\resume_set\Alex Rivera.pdf,Alex Rivera,33.33333333333333,alex.rivera@example.com,(312) 123-4567,Not Selected,Python,"Practice advanced Python concepts, Learn Python libraries (e.g., pandas, NumPy, Flask), Contribute to open-source projects, Build personal projects","Backend Developer, Automation Engineer, Software Engineer, Data Scientist",No
C:\Users\prave\Downloads\resume_set\Emily Sanders.pdf,Emily Sanders,33.33333333333333,emily.sanders@example.com,(512) 123-4567,Not Selected,SQL,"Work with different SQL database systems (e.g., MySQL, PostgreSQL), Build complex data models, Practice database optimization, Learn advanced SQL queries","Data Engineer, Business Intelligence Analyst, Data Analyst, Database Administrator",No
C:\Users\prave\Downloads\resume_set\Ethan Clark.pdf,Ethan Clark,33.33333333333333,ethan.clark@example.com,(512) 456-7890,Not Selected,Python,"Practice advanced Python concepts, Learn Python libraries (e.g., pandas, NumPy, Flask), Contribute to open-source projects, Build personal projects","Backend Developer, Automation Engineer, Software Engineer, Data Scientist",No
C:\Users\prave\Downloads\resume_set\HEPZI CHANDRA J (3).pdf,EDUCATION SKILLS,33.33333333333333,hepzichandra3121@gmail.com,8525891855,Not Selected,Python,"Practice advanced Python concepts, Learn Python libraries (e.g., pandas, NumPy, Flask), Contribute to open-source projects, Build personal projects","Backend Developer, Automation Engineer, Software Engineer, Data Scientist",No
C:\Users\prave\Downloads\resume_set\Jesvin Nithish's Resume.pdf,Willing to work in a challenging position with a growing Organization Trichy,33.33333333333333,sjesvin30@gmail.com,8778055221,Not Selected,Python,"Practice advanced Python concepts, Learn Python libraries (e.g., pandas, NumPy, Flask), Contribute to open-source projects, Build personal projects","Backend Developer, Automation Engineer, Software Engineer, Data Scientist",No
C:\Users\prave\Downloads\resume_set\John Doe1.pdf,John Doe,33.33333333333333,johndoe@example.com,(123) 456-7890,Not Selected,Python,"Practice advanced Python concepts, Learn Python libraries (e.g., pandas, NumPy, Flask), Contribute to open-source projects, Build personal projects","Backend Developer, Automation Engineer, Software Engineer, Data Scientist",No
C:\Users\prave\Downloads\resume_set\John Martin.pdf,John Martin,33.33333333333333,john.martin@example.com,(415) 987-6543,Not Selected,SQL,"Work with different SQL database systems (e.g., MySQL, PostgreSQL), Build complex data models, Practice database optimization, Learn advanced SQL queries","Data Engineer, Business Intelligence Analyst, Data Analyst, Database Administrator",No
C:\Users\prave\Downloads\resume_set\Liam Baker.pdf,Liam Baker,33.33333333333333,liam.baker@example.com,(415) 987-6543,Not Selected,Python,"Practice advanced Python concepts, Learn Python libraries (e.g., pandas, NumPy, Flask), Contribute to open-source projects, Build personal projects","Backend Developer, Automation Engineer, Software Engineer, Data Scientist",No
C:\Users\prave\Downloads\resume_set\Michael Davis.pdf,Michael Davis,33.33333333333333,michael.davis@example.com,(212) 321-9876,Not Selected,SQL,"Work with different SQL database systems (e.g., MySQL, PostgreSQL), Build complex data models, Practice database optimization, Learn advanced SQL queries","Data Engineer, Business Intelligence Analyst, Data Analyst, Database Administrator",No
C:\Users\prave\Downloads\resume_set\Michael Robinson.pdf,Michael Robinson,33.33333333333333,michael.robinson@example.com,(212) 555-7890,Not Selected,Python,"Practice advanced Python concepts, Learn Python libraries (e.g., pandas, NumPy, Flask), Contribute to open-source projects, Build personal projects","Backend Developer, Automation Engineer, Software Engineer, Data Scientist",No
C:\Users\prave\Downloads\resume_set\Monish-K Resume.pdf,Monish K,33.33333333333333,monishprabhu31@gmail.co,8754752232,Not Selected,SQL,"Work with different SQL database systems (e.g., MySQL, PostgreSQL), Build complex data models, Practice database optimization, Learn advanced SQL queries","Data Engineer, Business Intelligence Analyst, Data Analyst, Database Administrator",No
C:\Users\prave\Downloads\resume_set\Rachel Turner.pdf,Rachel Turner,33.33333333333333,rachel.turner@example.com,(310) 987-6543,Not Selected,Python,"Practice advanced Python concepts, Learn Python libraries (e.g., pandas, NumPy, Flask), Contribute to open-source projects, Build personal projects","Backend Developer, Automation Engineer, Software Engineer, Data Scientist",No
C:\Users\prave\Downloads\resume_set\Sarah Parker.pdf,Sarah Parker,33.33333333333333,sarah.parker@example.com,(312) 987-6543,Not Selected,Python,"Practice advanced Python concepts, Learn Python libraries (e.g., pandas, NumPy, Flask), Contribute to open-source projects, Build personal projects","Backend Developer, Automation Engineer, Software Engineer, Data Scientist",No
C:\Users\prave\Downloads\resume_set\Sophia Reed.pdf,Sophia Reed,33.33333333333333,sophia.reed@example.com,(206) 123-4567,Not Selected,Python,"Practice advanced Python concepts, Learn Python libraries (e.g., pandas, NumPy, Flask), Contribute to open-source projects, Build personal projects","Backend Developer, Automation Engineer, Software Engineer, Data Scientist",No
C:\Users\prave\Downloads\resume_set\William Adams.pdf,William Adams,33.33333333333333,william.adams@example.com,(415) 987-6543,Not Selected,Python,"Practice advanced Python concepts, Learn Python libraries (e.g., pandas, NumPy, Flask), Contribute to open-source projects, Build personal projects","Backend Developer, Automation Engineer, Software Engineer, Data Scientist",No
